,date,rms
0,2020-03-01,780.877281178545
1,2020-03-02,887.2514804569154
2,2020-03-03,868.4098806018302
3,2020-03-04,897.7182338704994
4,2020-03-05,887.2405010967108
5,2020-03-06,940.15181568538
6,2020-03-07,875.3042513224647
7,2020-03-08,891.484378034382
8,2020-03-09,961.8994258203066
9,2020-03-10,906.4702204431918
10,2020-03-11,897.4076172611552
11,2020-03-12,906.1826127406899
12,2020-03-13,988.2117353684669
13,2020-03-14,890.6094549754773
14,2020-03-15,940.5752345892569
15,2020-03-16,968.1475447814395
16,2020-03-17,813.6820202500367
17,2020-03-18,779.0304262246327
18,2020-03-19,641.2981628701629
19,2020-03-20,728.9038675069535
20,2020-03-21,647.8901036817246
21,2020-03-22,498.40848081897104
22,2020-03-23,511.65344931975574
23,2020-03-24,480.0584562216451
24,2020-03-25,430.4783743133798
25,2020-03-26,491.18268137055145
26,2020-03-27,501.307336010994
27,2020-03-28,488.74167981377605
28,2020-03-29,475.51639890390715
29,2020-03-30,521.4811564916592
30,2020-03-31,529.9620112501193
31,2020-04-01,516.3466886837824
32,2020-04-02,513.154336518211
33,2020-04-03,555.9780605390689
34,2020-04-04,494.9842640845348
35,2020-04-05,498.9388132850774
36,2020-04-06,555.5165034762596
37,2020-04-07,575.100829625869
38,2020-04-08,580.7597062391643
39,2020-04-09,591.9808881991294
40,2020-04-10,514.2891521470267
41,2020-04-11,519.4008119202266
42,2020-04-12,555.1322199022973
43,2020-04-13,603.9055712688153
44,2020-04-14,563.2867701370543
45,2020-04-15,550.9292285228099
46,2020-04-16,551.7201571577168
47,2020-04-17,580.5750214314837
48,2020-04-18,562.438763685848
49,2020-04-19,531.7670042615849
50,2020-04-20,597.1848731780753
51,2020-04-21,529.6016358176092
52,2020-04-22,601.2352607426939
53,2020-04-23,606.8134100762969
54,2020-04-24,626.8691052793077
55,2020-04-25,597.6199201542388
56,2020-04-26,580.5850951401488
57,2020-04-27,645.1073542217913
58,2020-04-28,640.8419714310363
59,2020-04-29,657.0244540278628
60,2020-04-30,697.3306637212987
61,2020-05-01,596.4884246749266
62,2020-05-02,622.2177192685444
63,2020-05-03,610.7360483335741
64,2020-05-04,692.6920891949089
65,2020-05-05,624.6486294395097
66,2020-05-06,627.2175193136329
